Timestamp(s),Event Type,Details,Exchange Count,Info Discovered
0.00,CONVERSATION_START,"Feedback: VisualCueIcon",0,0
1.98,AI_RESPONSE_FULL,"Received full JSON response",1,0
2.82,AVATAR_TALKING,"Avatar started speaking",1,0
10.17,AVATAR_IDLE,"Avatar finished speaking",1,0
15.75,USER_MESSAGE,"have been wonderful how are you",1,0
16.05,FEEDBACK_VISUAL_ICON,"Loading icon shown",1,0
17.81,AI_RESPONSE_FULL,"Received full JSON response",2,0
17.81,FEEDBACK_STOPPED,"Duration: 1.76s",2,0
18.89,AVATAR_TALKING,"Avatar started speaking",2,0
18.89,AVATAR_TALKING,"Avatar started speaking",2,0
28.64,AVATAR_IDLE,"Avatar finished speaking",2,0
28.64,AVATAR_IDLE,"Avatar finished speaking",2,0
38.59,USER_MESSAGE,"plans",2,0
38.89,FEEDBACK_VISUAL_ICON,"Loading icon shown",2,0
41.36,AI_RESPONSE_FULL,"Received full JSON response",3,0
41.36,FEEDBACK_STOPPED,"Duration: 2.47s",3,0
42.06,AVATAR_TALKING,"Avatar started speaking",3,0
42.06,AVATAR_TALKING,"Avatar started speaking",3,0
42.06,AVATAR_TALKING,"Avatar started speaking",3,0
51.62,AVATAR_IDLE,"Avatar finished speaking",3,0
51.62,AVATAR_IDLE,"Avatar finished speaking",3,0
51.62,AVATAR_IDLE,"Avatar finished speaking",3,0
66.41,USER_MESSAGE,"will be going to amuse Labs it's a company in Bangalore",3,0
66.71,FEEDBACK_VISUAL_ICON,"Loading icon shown",3,0
67.63,AI_RESPONSE_FULL,"Received full JSON response",4,0
67.63,FEEDBACK_STOPPED,"Duration: 0.92s",4,0
68.37,AVATAR_TALKING,"Avatar started speaking",4,0
68.37,AVATAR_TALKING,"Avatar started speaking",4,0
68.37,AVATAR_TALKING,"Avatar started speaking",4,0
68.37,AVATAR_TALKING,"Avatar started speaking",4,0
78.47,AVATAR_IDLE,"Avatar finished speaking",4,0
78.47,AVATAR_IDLE,"Avatar finished speaking",4,0
78.47,AVATAR_IDLE,"Avatar finished speaking",4,0
78.47,AVATAR_IDLE,"Avatar finished speaking",4,0
82.92,USER_MESSAGE,"no I haven't",4,0
83.22,FEEDBACK_VISUAL_ICON,"Loading icon shown",4,0
84.59,AI_RESPONSE_FULL,"Received full JSON response",5,0
84.59,FEEDBACK_STOPPED,"Duration: 1.37s",5,0
85.35,AVATAR_TALKING,"Avatar started speaking",5,0
85.35,AVATAR_TALKING,"Avatar started speaking",5,0
85.35,AVATAR_TALKING,"Avatar started speaking",5,0
85.35,AVATAR_TALKING,"Avatar started speaking",5,0
85.35,AVATAR_TALKING,"Avatar started speaking",5,0
96.72,AVATAR_IDLE,"Avatar finished speaking",5,0
96.72,AVATAR_IDLE,"Avatar finished speaking",5,0
96.72,AVATAR_IDLE,"Avatar finished speaking",5,0
96.72,AVATAR_IDLE,"Avatar finished speaking",5,0
96.72,AVATAR_IDLE,"Avatar finished speaking",5,0
102.77,USER_MESSAGE,"it is the bridge",5,0
103.07,FEEDBACK_VISUAL_ICON,"Loading icon shown",5,0
104.66,AI_RESPONSE_FULL,"Received full JSON response",6,0
104.66,FEEDBACK_STOPPED,"Duration: 1.58s",6,0
105.70,AVATAR_TALKING,"Avatar started speaking",6,0
105.70,AVATAR_TALKING,"Avatar started speaking",6,0
105.70,AVATAR_TALKING,"Avatar started speaking",6,0
105.70,AVATAR_TALKING,"Avatar started speaking",6,0
105.70,AVATAR_TALKING,"Avatar started speaking",6,0
105.70,AVATAR_TALKING,"Avatar started speaking",6,0
117.29,AVATAR_IDLE,"Avatar finished speaking",6,0
117.29,AVATAR_IDLE,"Avatar finished speaking",6,0
117.29,AVATAR_IDLE,"Avatar finished speaking",6,0
117.29,AVATAR_IDLE,"Avatar finished speaking",6,0
117.29,AVATAR_IDLE,"Avatar finished speaking",6,0
117.29,AVATAR_IDLE,"Avatar finished speaking",6,0
136.66,USER_MESSAGE,"the coffee shop in um in our campus what's your favorite drink",6,0
136.97,FEEDBACK_VISUAL_ICON,"Loading icon shown",6,0
138.58,AI_RESPONSE_FULL,"Received full JSON response",7,0
138.58,FEEDBACK_STOPPED,"Duration: 1.61s",7,0
138.58,ALL_TASKS_COMPLETED,"All 4 tasks completed",7,0
139.50,AVATAR_TALKING,"Avatar started speaking",7,0
139.50,AVATAR_TALKING,"Avatar started speaking",7,0
139.50,AVATAR_TALKING,"Avatar started speaking",7,0
139.50,AVATAR_TALKING,"Avatar started speaking",7,0
139.50,AVATAR_TALKING,"Avatar started speaking",7,0
139.50,AVATAR_TALKING,"Avatar started speaking",7,0
139.50,AVATAR_TALKING,"Avatar started speaking",7,0
150.90,AVATAR_IDLE,"Avatar finished speaking",7,0
150.90,AVATAR_IDLE,"Avatar finished speaking",7,0
150.90,AVATAR_IDLE,"Avatar finished speaking",7,0
150.90,AVATAR_IDLE,"Avatar finished speaking",7,0
150.90,AVATAR_IDLE,"Avatar finished speaking",7,0
150.90,AVATAR_IDLE,"Avatar finished speaking",7,0
150.90,AVATAR_IDLE,"Avatar finished speaking",7,0
0.00,CONVERSATION_END,"Reason: Objectives Met / AI Requested End | Duration: 2.53m",7,0

=== SUMMARY ===
Duration (minutes),0.00
Total Exchanges,7
Info Discovered,0/4
Feedback Enabled,True
Feedback Types,VisualCueIcon
Feedback Delay,0.3s
